ID,Fecha,Fecha Envío,Fecha Entrega,Cliente,SKU,Cantidad,Precio Unitario USD,Subtotal USD,Descuento %,Impuesto USD,Total USD,Método de Pago,Canal de Venta,Almacén Origen,Transporte,Número Tracking,Estado,Observaciones
VENT-0011,2024-04-13,2024-04-13,2024-04-15,CLI-021,SKU-0154,21.0,574.76,12069.96,17.1,1931.19,11937.19,Mercado Pago,App Móvil,ALM-01,TR-005,TRK7615840708,Devuelta,
VENT-0012,2024-06-30,2024-06-30,2024-07-03,CLI-090,SKU-0166,10.0,893.47,8934.7,0.0,1429.55,10364.25,Efectivo,Presencial,ALM-06,TR-022,TRK3456709521,Completada,
VENT-0013,2024-02-10,2024-02-10,2024-02-24,CLI-040,SKU-0085,7.0,131.15,918.05,11.7,146.89,957.53,Transferencia,Teléfono,ALM-07,TR-016,TRK5756841512,Pendiente,
VENT-0014,2024-09-23,2024-09-24,2024-10-04,CLI-079,SKU-0073,9.0,151.95,1367.55,12.1,218.81,1420.89,Mercado Pago,App Móvil,ALM-09,TR-004,TRK2218469455,Cancelada,Requiere seguimiento
VENT-0015,2025-06-05,2025-06-07,2025-06-10,CLI-086,SKU-0042,45.0,478.13,21515.85,9.1,3442.54,23000.45,Stripe,App Móvil,ALM-07,TR-014,TRK2402777787,Completada,OK
VENT-0016,2024-04-30,2024-05-01,2024-05-02,CLI-020,SKU-0181,10.0,129.44,1294.4,1.2,207.1,1485.97,Cheque,Teléfono,ALM-03,TR-024,TRK5610398955,En proceso,Requiere seguimiento
VENT-0017,2025-10-21,2025-10-23,2025-11-05,CLI-075,SKU-0062,46.0,485.28,22322.88,8.2,3571.66,24064.06,Stripe,Teléfono,ALM-08,TR-021,TRK5440292367,Completada,Urgente
VENT-0018,2024-09-15,2024-09-18,2024-09-18,CLI-025,SKU-0089,5.0,139.13,695.65,16.8,111.3,690.08,Mercado Pago,E-commerce,ALM-08,TR-022,TRK9446278791,En proceso,OK
VENT-0019,2024-11-18,2024-11-19,2024-11-19,CLI-018,SKU-0084,48.0,873.36,41921.28,8.4,6707.4,45107.29,Mercado Pago,Teléfono,ALM-05,TR-014,TRK5695328401,En proceso,
VENT-0020,2024-10-11,2024-10-12,2024-10-23,CLI-006,SKU-0036,16.0,510.23,8163.68,9.9,1306.19,8661.67,Transferencia,E-commerce,ALM-01,TR-025,TRK9629556261,En proceso,Requiere seguimiento
VENT-0021,2025-05-28,2025-05-29,2025-06-01,CLI-079,SKU-0096,22.0,102.19,2248.18,9.7,359.71,2389.82,Transferencia,Presencial,ALM-09,TR-009,TRK7575032731,Completada,Urgente
VENT-0022,2025-07-14,2025-07-16,2025-07-23,CLI-099,SKU-0188,3.0,463.96,1391.88,14.4,222.7,1414.15,Mercado Pago,E-commerce,ALM-01,TR-010,TRK2428529361,Cancelada,
VENT-0023,2024-08-24,2024-08-26,2024-09-07,CLI-061,SKU-0107,30.0,831.28,24938.4,12.2,3990.14,25886.06,PayPal,Teléfono,ALM-08,TR-009,TRK6386498527,Pendiente,
VENT-0024,2024-09-01,2024-09-04,2024-09-02,CLI-068,SKU-0059,3.0,277.44,832.32,16.4,133.17,828.99,Cheque,Web,ALM-02,TR-009,TRK9331879663,Completada,Cliente satisfecho
VENT-0025,2024-08-06,2024-08-08,2024-08-19,CLI-099,SKU-0154,43.0,140.96,6061.28,19.8,969.8,5830.95,Tarjeta de crédito,Teléfono,ALM-07,TR-018,TRK8411916248,Completada,
VENT-0026,2025-05-06,2025-05-06,2025-05-08,CLI-002,SKU-0176,28.0,163.74,4584.72,12.9,733.56,4726.85,Transferencia,App Móvil,ALM-05,TR-006,TRK8118724337,Pendiente,Urgente
VENT-0027,2026-02-22,2026-02-24,2026-02-27,CLI-021,SKU-0110,14.0,683.33,9566.62,7.2,1530.66,10408.48,PayPal,App Móvil,ALM-09,TR-021,TRK1294590834,Completada,
VENT-0028,2024-10-03,2024-10-04,2024-10-05,CLI-001,SKU-0062,5.0,722.93,3614.65,15.9,578.34,3618.26,Mercado Pago,E-commerce,ALM-06,TR-004,TRK7591021980,Completada,OK
VENT-0029,2024-04-04,2024-04-06,2024-04-07,CLI-086,SKU-0158,18.0,728.4,13111.2,7.1,2097.79,14278.09,Cheque,Teléfono,ALM-09,TR-009,TRK4115205266,Completada,
VENT-0030,2025-07-01,2025-07-02,2025-07-09,CLI-021,SKU-0038,22.0,228.27,5021.94,16.3,803.51,5006.87,Mercado Pago,App Móvil,ALM-06,TR-001,TRK8545210932,Completada,Urgente
VENT-0031,2025-08-23,2025-08-23,2025-09-04,CLI-028,SKU-0043,13.0,596.86,7759.18,9.7,1241.47,8248.01,Transferencia,App Móvil,ALM-08,TR-018,TRK8605695669,Cancelada,Requiere seguimiento
VENT-0032,2024-07-11,2024-07-11,2024-07-21,CLI-083,SKU-0095,13.0,819.98,10659.74,0.7,1705.56,12290.68,Efectivo,Web,ALM-06,TR-021,TRK6749782732,Completada,Requiere seguimiento
VENT-0033,2025-07-28,2025-07-28,2025-08-07,CLI-060,SKU-0022,9.0,774.42,6969.78,11.9,1115.16,7255.54,Transferencia,E-commerce,ALM-08,TR-018,TRK2463309671,Completada,Requiere seguimiento
VENT-0034,2024-04-19,2024-04-19,2024-04-24,CLI-032,SKU-0080,35.0,757.73,26520.55,5.9,4243.29,29199.13,Stripe,Teléfono,ALM-05,TR-013,TRK5291878112,Pendiente,Requiere seguimiento
VENT-0035,2026-01-26,2026-01-28,2026-02-02,CLI-053,SKU-0020,34.0,391.03,13295.02,10.0,2127.2,14092.72,Tarjeta de crédito,Web,ALM-05,TR-011,TRK5724990673,Completada,
VENT-0036,2025-08-13,2025-08-14,2025-08-23,CLI-034,SKU-0197,22.0,354.65,7802.3,2.5,1248.37,8855.61,Mercado Pago,Web,ALM-04,TR-002,TRK6482589747,Completada,Cliente satisfecho
VENT-0037,2024-02-11,2024-02-13,2024-02-26,CLI-071,SKU-0169,20.0,180.35,3607.0,8.1,577.12,3891.95,Cheque,Web,ALM-06,TR-009,TRK4182975895,Completada,
VENT-0038,2025-04-25,2025-04-27,2025-05-02,CLI-013,SKU-0151,1.0,185.46,185.46,9.5,29.67,197.51,PayPal,Web,ALM-05,TR-006,TRK4410664100,Completada,Requiere seguimiento
VENT-0039,2024-04-16,2024-04-16,2024-04-24,CLI-022,SKU-0048,42.0,834.53,35050.26,14.0,5608.04,35751.26,Transferencia,App Móvil,ALM-03,TR-006,TRK2751962237,Pendiente,
VENT-0040,2025-11-13,2025-11-16,2025-11-17,CLI-064,SKU-0141,16.0,147.5,2360.0,4.2,377.6,2638.48,Mercado Pago,Marketplace,ALM-05,TR-012,TRK5879986988,Cancelada,Cliente satisfecho
VENT-0041,2025-03-06,2025-03-08,2025-03-17,CLI-035,SKU-0064,40.0,784.91,31396.4,2.5,5023.42,35634.91,PayPal,E-commerce,ALM-01,TR-004,TRK3882025167,Completada,
VENT-0042,2025-02-08,2025-02-09,2025-02-12,CLI-030,SKU-0064,48.0,137.25,6588.0,1.4,1054.08,7549.85,Efectivo,Web,ALM-10,TR-001,TRK3799687315,Completada,
VENT-0043,2026-01-11,2026-01-11,2026-01-25,CLI-053,SKU-0028,22.0,265.07,5831.54,2.9,933.05,6595.48,Efectivo,Presencial,ALM-07,TR-013,TRK8216895937,Devuelta,
VENT-0044,2025-11-12,2025-11-13,2025-11-20,CLI-082,SKU-0038,14.0,411.37,5759.18,3.8,921.47,6461.8,Cheque,Presencial,ALM-07,TR-002,TRK2082809647,Cancelada,OK
VENT-0045,2024-07-27,2024-07-30,2024-07-29,CLI-021,SKU-0016,4.0,698.66,2794.64,10.5,447.14,2948.34,Efectivo,Teléfono,ALM-05,TR-009,TRK6055434544,Completada,OK
VENT-0046,2025-10-21,2025-10-22,2025-10-29,CLI-098,SKU-0136,5.0,569.19,2845.95,7.0,455.35,3102.08,Transferencia,App Móvil,ALM-05,TR-016,TRK9433203404,Pendiente,
VENT-0047,2024-08-28,2024-08-31,2024-09-04,CLI-062,SKU-0057,29.0,823.85,23891.65,0.3,3822.66,27642.64,Transferencia,Marketplace,ALM-09,TR-021,TRK5011397503,Completada,Cliente satisfecho
VENT-0048,2025-11-05,2025-11-07,2025-11-17,CLI-093,SKU-0095,34.0,303.85,10330.9,2.0,1652.94,11777.22,Cheque,Web,ALM-02,TR-019,TRK1460073271,Pendiente,Cliente satisfecho
VENT-0049,2025-08-11,2025-08-12,2025-08-22,CLI-032,SKU-0194,43.0,845.1,36339.3,17.1,5814.29,35939.57,Cheque,Marketplace,ALM-01,TR-005,TRK5117248077,En proceso,Urgente
VENT-0050,2026-01-20,2026-01-22,2026-02-01,CLI-073,SKU-0088,1.0,484.82,484.82,3.7,77.57,544.45,Mercado Pago,E-commerce,ALM-05,TR-023,TRK8750668758,Completada,Urgente
VENT-0051,2025-04-28,2025-04-29,2025-05-13,CLI-086,SKU-0155,37.0,551.22,20395.14,1.9,3263.22,23270.85,Transferencia,Presencial,ALM-01,TR-011,TRK6827758031,Completada,Requiere seguimiento
VENT-0052,2024-03-19,2024-03-19,2024-03-29,CLI-064,SKU-0059,28.0,866.0,24248.0,0.3,3879.68,28054.94,Transferencia,Teléfono,ALM-07,TR-002,TRK6175261010,Cancelada,
VENT-0053,2026-01-25,2026-01-26,2026-01-29,CLI-014,SKU-0175,36.0,453.02,16308.72,2.7,2609.4,18477.78,Efectivo,Web,ALM-01,TR-009,TRK7818258958,Completada,Cliente satisfecho
VENT-0054,2024-08-30,2024-08-30,2024-09-01,CLI-083,SKU-0151,29.0,814.48,23619.92,1.9,3779.19,26950.33,Mercado Pago,Presencial,ALM-10,TR-018,TRK2035989065,Devuelta,Cliente satisfecho
VENT-0055,2025-05-16,2025-05-17,2025-05-29,CLI-070,SKU-0043,43.0,705.86,30351.98,14.6,4856.32,30776.91,Cheque,Presencial,ALM-02,TR-003,TRK7767471712,Completada,Urgente
VENT-0056,2024-06-17,2024-06-17,2024-06-29,CLI-090,SKU-0090,23.0,702.66,16161.18,11.1,2585.79,16953.08,Tarjeta de crédito,App Móvil,ALM-10,TR-001,TRK8160992941,Completada,
VENT-0057,2024-08-02,2024-08-03,2024-08-05,CLI-021,SKU-0060,48.0,136.16,6535.68,3.6,1045.71,7346.11,Efectivo,E-commerce,ALM-01,TR-022,TRK2930446141,Completada,
VENT-0058,2026-02-18,2026-02-20,2026-03-04,CLI-016,SKU-0186,47.0,263.33,12376.51,12.5,1980.24,12809.69,Stripe,E-commerce,ALM-03,TR-023,TRK4870437669,Devuelta,Urgente
VENT-0059,2025-03-06,2025-03-06,2025-03-08,CLI-001,SKU-0044,24.0,128.1,3074.4,3.5,491.9,3458.7,Mercado Pago,Teléfono,ALM-04,TR-003,TRK5955274284,Completada,Urgente
VENT-0060,2025-07-22,2025-07-24,2025-08-06,CLI-030,SKU-0180,11.0,312.91,3442.01,10.4,550.72,3634.76,Cheque,Teléfono,ALM-10,TR-018,TRK7223659197,Completada,OK
VENT-0061,2026-03-01,2026-03-01,2026-03-05,CLI-036,SKU-0081,17.0,585.03,9945.51,18.5,1591.28,9696.87,Cheque,Presencial,ALM-07,TR-025,TRK7594697802,Completada,
VENT-0062,2024-04-25,2024-04-28,2024-05-02,CLI-089,SKU-0033,4.0,283.79,1135.16,14.0,181.63,1157.87,Stripe,Marketplace,ALM-03,TR-002,TRK3224597355,Completada,
VENT-0063,2024-03-16,2024-03-17,2024-03-25,CLI-031,SKU-0013,33.0,786.64,25959.12,10.9,4153.46,27283.04,PayPal,Web,ALM-06,TR-017,TRK3308830426,Pendiente,Cliente satisfecho
VENT-0064,2025-05-17,2025-05-18,2025-05-20,CLI-043,SKU-0141,9.0,762.49,6862.41,0.9,1097.99,7898.64,Mercado Pago,Teléfono,ALM-02,TR-017,TRK2899868676,Cancelada,
VENT-0065,2024-12-11,2024-12-11,2024-12-12,CLI-095,SKU-0195,21.0,468.72,9843.12,13.6,1574.9,10079.36,Mercado Pago,Web,ALM-01,TR-025,TRK1130341144,En proceso,
VENT-0066,2024-07-13,2024-07-16,2024-07-26,CLI-097,SKU-0191,41.0,568.67,23315.47,1.7,3730.48,26649.59,Tarjeta de crédito,E-commerce,ALM-09,TR-021,TRK2595749987,Completada,
VENT-0067,2025-05-31,2025-06-02,2025-06-13,CLI-046,SKU-0081,25.0,637.74,15943.5,15.9,2550.96,15959.44,Efectivo,Presencial,ALM-03,TR-003,TRK7614306997,Pendiente,OK
VENT-0068,2024-10-22,2024-10-22,2024-10-28,CLI-067,SKU-0197,5.0,220.46,1102.3,16.5,176.37,1096.79,Cheque,E-commerce,ALM-01,TR-017,TRK7161946294,Completada,
VENT-0069,2025-01-21,2025-01-23,2025-02-01,CLI-077,SKU-0013,1.0,629.63,629.63,17.7,100.74,618.93,Efectivo,Web,ALM-06,TR-024,TRK7510701005,Completada,Urgente
VENT-0070,2024-10-02,2024-10-03,2024-10-08,CLI-049,SKU-0145,8.0,288.64,2309.12,3.0,369.46,2609.31,Efectivo,App Móvil,ALM-01,TR-012,TRK7772412615,Completada,
VENT-0071,2025-09-08,2025-09-11,2025-09-18,CLI-081,SKU-0121,4.0,425.39,1701.56,4.8,272.25,1892.14,Efectivo,Web,ALM-10,TR-025,TRK1793565790,Completada,
VENT-0072,2025-06-25,2025-06-25,2025-07-10,CLI-035,SKU-0013,8.0,792.2,6337.6,5.1,1014.02,7028.4,PayPal,Marketplace,ALM-01,TR-009,TRK9368508491,Devuelta,
VENT-0073,2025-10-25,2025-10-25,2025-11-01,CLI-067,SKU-0050,25.0,674.55,16863.75,3.8,2698.2,18921.13,Efectivo,Teléfono,ALM-03,TR-022,TRK1281451607,Cancelada,Cliente satisfecho
VENT-0074,2026-01-18,2026-01-20,2026-01-25,CLI-093,SKU-0044,34.0,557.14,18942.76,13.4,3030.84,19435.27,Efectivo,Teléfono,ALM-01,TR-008,TRK9072159605,Completada,Requiere seguimiento
VENT-0075,2026-03-07,2026-03-09,2026-03-09,CLI-093,SKU-0186,34.0,444.71,15120.14,2.1,2419.22,17221.84,Cheque,Web,ALM-07,TR-010,TRK8007807461,Completada,Requiere seguimiento
VENT-0076,2024-07-10,2024-07-13,2024-07-23,CLI-097,SKU-0096,49.0,332.49,16292.01,17.5,2606.72,16047.63,Transferencia,App Móvil,ALM-06,TR-011,TRK6097934243,Completada,
VENT-0077,2024-10-13,2024-10-15,2024-10-22,CLI-086,SKU-0022,31.0,401.82,12456.42,8.2,1993.03,13428.02,PayPal,Marketplace,ALM-09,TR-001,TRK4315873227,Completada,Requiere seguimiento
VENT-0078,2024-10-09,2024-10-11,2024-10-21,CLI-031,SKU-0143,45.0,500.78,22535.1,3.6,3605.62,25329.46,Transferencia,E-commerce,ALM-10,TR-023,TRK9854204279,En proceso,
VENT-0079,2024-09-01,2024-09-02,2024-09-16,CLI-038,SKU-0176,41.0,146.02,5986.82,17.1,957.89,5920.96,Transferencia,Teléfono,ALM-06,TR-007,TRK4044608073,Cancelada,
VENT-0080,2025-06-22,2025-06-25,2025-07-04,CLI-019,SKU-0027,6.0,175.66,1053.96,12.0,168.63,1096.11,Mercado Pago,Web,ALM-09,TR-002,TRK1853061625,Completada,
VENT-0081,2024-08-19,2024-08-19,2024-09-03,CLI-064,SKU-0056,9.0,424.0,3816.0,6.5,610.56,4178.52,Cheque,Web,ALM-02,TR-003,TRK7463438053,En proceso,Urgente
VENT-0082,2026-01-07,2026-01-07,2026-01-08,CLI-013,SKU-0119,33.0,786.7,25961.1,15.6,4153.78,26064.95,Transferencia,Teléfono,ALM-01,TR-001,TRK3517238620,En proceso,Urgente
VENT-0083,2024-01-14,2024-01-15,2024-01-26,CLI-015,SKU-0141,9.0,770.08,6930.72,10.5,1108.92,7311.91,Cheque,Presencial,ALM-08,TR-021,TRK8313636100,Pendiente,Cliente satisfecho
VENT-0084,2025-09-27,2025-09-28,2025-10-04,CLI-077,SKU-0031,47.0,826.35,38838.45,18.3,6214.15,37945.16,Efectivo,Marketplace,ALM-06,TR-005,TRK4804842564,Completada,Cliente satisfecho
VENT-0085,2025-08-11,2025-08-13,2025-08-13,CLI-078,SKU-0019,8.0,796.67,6373.36,12.8,1019.74,6577.31,PayPal,Presencial,ALM-04,TR-008,TRK7345156560,Completada,
VENT-0086,2024-08-08,2024-08-09,2024-08-10,CLI-097,SKU-0105,13.0,236.48,3074.24,14.5,491.88,3120.36,Transferencia,E-commerce,ALM-05,TR-011,TRK6745354940,Completada,
VENT-0087,2024-05-13,2024-05-16,2024-05-25,CLI-033,SKU-0010,45.0,696.81,31356.45,14.6,5017.03,31795.44,Tarjeta de crédito,Presencial,ALM-01,TR-025,TRK8696719645,Completada,OK
VENT-0088,2025-06-15,2025-06-15,2025-06-17,CLI-051,SKU-0110,28.0,873.03,24444.84,14.9,3911.17,24713.73,Stripe,Teléfono,ALM-07,TR-025,TRK4635848624,Completada,
VENT-0089,2025-09-14,2025-09-14,2025-09-28,CLI-008,SKU-0134,14.0,389.06,5446.84,8.0,871.49,5882.58,Mercado Pago,Web,ALM-07,TR-005,TRK8236625158,Completada,Requiere seguimiento
VENT-0090,2024-09-17,2024-09-19,2024-09-23,CLI-096,SKU-0055,7.0,862.23,6035.61,15.4,965.7,6071.83,Tarjeta de crédito,E-commerce,ALM-09,TR-018,TRK6082681041,Completada,OK
VENT-0091,2024-05-26,2024-05-27,2024-06-04,CLI-081,SKU-0125,28.0,710.44,19892.32,12.9,3182.77,20508.98,Mercado Pago,Presencial,ALM-05,TR-024,TRK5136607835,Completada,
VENT-0092,2026-03-09,2026-03-10,2026-03-15,CLI-039,SKU-0142,1.0,735.05,735.05,19.7,117.61,707.86,Efectivo,Teléfono,ALM-08,TR-022,TRK3270353915,Cancelada,
VENT-0093,2024-02-24,2024-02-24,2024-03-06,CLI-028,SKU-0060,42.0,399.44,16776.48,14.5,2684.24,17028.13,Efectivo,E-commerce,ALM-01,TR-020,TRK4531566367,En proceso,
VENT-0094,2025-04-08,2025-04-10,2025-04-18,CLI-038,SKU-0074,37.0,245.42,9080.54,0.3,1452.89,10506.19,Mercado Pago,Teléfono,ALM-07,TR-025,TRK8765601772,Pendiente,OK
VENT-0095,2025-08-16,2025-08-19,2025-08-27,CLI-012,SKU-0134,19.0,216.14,4106.66,15.7,657.07,4118.98,PayPal,Teléfono,ALM-03,TR-011,TRK3428116280,Pendiente,
VENT-0096,2024-07-18,2024-07-19,2024-08-02,CLI-099,SKU-0129,20.0,555.59,11111.8,15.8,1777.89,11134.03,Transferencia,Web,ALM-03,TR-025,TRK6252864882,Completada,Urgente
VENT-0097,2025-09-29,2025-09-29,2025-10-08,CLI-052,SKU-0145,36.0,868.5,31266.0,1.1,5002.56,35924.63,Cheque,Teléfono,ALM-07,TR-021,TRK5800556513,Cancelada,
VENT-0098,2026-01-11,2026-01-12,2026-01-20,CLI-083,SKU-0114,12.0,699.42,8393.04,6.2,1342.89,9215.56,PayPal,Teléfono,ALM-06,TR-022,TRK9194196378,Completada,
VENT-0099,2024-10-18,2024-10-18,2024-11-02,CLI-085,SKU-0144,49.0,114.0,5586.0,16.4,893.76,5563.66,Efectivo,E-commerce,ALM-02,TR-005,TRK7159619661,Completada,
VENT-0100,2025-03-20,2025-03-22,2025-03-22,CLI-052,SKU-0152,49.0,386.98,18962.02,13.5,3033.92,19436.07,Mercado Pago,Marketplace,ALM-07,TR-019,TRK6919736734,Cancelada,
VENT-0101,2025-11-19,2025-11-20,2025-12-02,CLI-028,SKU-0004,36.0,485.54,17479.44,8.5,2796.71,18790.4,Transferencia,Marketplace,ALM-06,TR-019,TRK5811161965,Completada,Cliente satisfecho
VENT-0102,2024-11-14,2024-11-16,2024-11-25,CLI-052,SKU-0139,10.0,292.48,2924.8,15.9,467.97,2927.73,Tarjeta de crédito,Web,ALM-03,TR-016,TRK4231244980,Completada,
VENT-0103,2025-02-02,2025-02-02,2025-02-03,CLI-086,SKU-0132,28.0,580.31,16248.68,18.1,2599.79,15907.46,Tarjeta de crédito,E-commerce,ALM-09,TR-007,TRK1322366248,Completada,Requiere seguimiento
VENT-0104,2025-10-25,2025-10-27,2025-10-27,CLI-004,SKU-0013,5.0,400.15,2000.75,1.1,320.12,2298.86,Efectivo,App Móvil,ALM-10,TR-003,TRK2380371508,Devuelta,Urgente
VENT-0105,2025-03-29,2025-04-01,2025-04-09,CLI-100,SKU-0046,41.0,517.45,21215.45,17.4,3394.47,20918.43,Transferencia,Web,ALM-06,TR-008,TRK8033021343,Pendiente,
VENT-0106,2024-02-29,2024-03-03,2024-03-15,CLI-064,SKU-0113,29.0,579.07,16793.03,7.8,2686.88,18170.05,Transferencia,App Móvil,ALM-07,TR-025,TRK9001594091,Completada,
VENT-0107,2025-05-18,2025-05-21,2025-06-02,CLI-045,SKU-0005,36.0,738.93,26601.48,14.9,4256.24,26894.1,Cheque,Web,ALM-03,TR-019,TRK3584703554,Pendiente,
VENT-0108,2024-07-18,2024-07-19,2024-07-22,CLI-051,SKU-0135,44.0,526.83,23180.52,1.3,3708.88,26588.05,Cheque,Teléfono,ALM-02,TR-005,TRK6644446656,Completada,
VENT-0109,2025-04-20,2025-04-20,2025-04-24,CLI-045,SKU-0103,7.0,473.75,3316.25,18.5,530.6,3233.34,Mercado Pago,Teléfono,ALM-02,TR-003,TRK3589552483,Completada,Urgente
VENT-0110,2025-11-16,2025-11-18,2025-11-19,CLI-015,SKU-0057,49.0,437.52,21438.48,16.5,3430.16,21331.29,Cheque,E-commerce,ALM-09,TR-019,TRK9488715564,Cancelada,
VENT-0111,2024-10-30,2024-11-01,2024-11-04,CLI-025,SKU-0056,29.0,159.47,4624.63,13.4,739.94,4744.87,PayPal,Web,ALM-03,TR-019,TRK2387371777,Completada,Urgente
VENT-0112,2024-10-09,2024-10-11,2024-10-10,CLI-038,SKU-0131,3.0,878.46,2635.38,1.9,421.66,3006.97,Transferencia,E-commerce,ALM-04,TR-022,TRK5731402291,Devuelta,
VENT-0113,2024-06-23,2024-06-24,2024-06-25,CLI-019,SKU-0119,48.0,732.75,35172.0,13.3,5627.52,36121.64,Tarjeta de crédito,Teléfono,ALM-02,TR-016,TRK4553324308,Completada,
VENT-0114,2026-01-22,2026-01-25,2026-02-04,CLI-034,SKU-0133,27.0,237.3,6407.1,10.9,1025.14,6733.87,Stripe,App Móvil,ALM-10,TR-015,TRK4549076340,Completada,
VENT-0115,2024-01-30,2024-02-01,2024-02-03,CLI-066,SKU-0046,35.0,645.23,22583.05,6.4,3613.29,24751.02,PayPal,E-commerce,ALM-01,TR-016,TRK7136173390,Completada,OK
VENT-0116,2024-08-29,2024-09-01,2024-09-07,CLI-062,SKU-0180,4.0,422.13,1688.52,18.8,270.16,1641.24,Mercado Pago,Teléfono,ALM-01,TR-012,TRK4283657259,Cancelada,
VENT-0117,2024-12-01,2024-12-02,2024-12-03,CLI-011,SKU-0169,11.0,244.36,2687.96,12.6,430.07,2779.35,Cheque,App Móvil,ALM-06,TR-001,TRK8633387715,Devuelta,
VENT-0118,2025-06-19,2025-06-20,2025-06-21,CLI-088,SKU-0068,26.0,555.55,14444.3,14.6,2311.09,14646.52,PayPal,Teléfono,ALM-06,TR-019,TRK9759305846,Pendiente,
VENT-0119,2024-01-17,2024-01-18,2024-01-20,CLI-056,SKU-0160,39.0,533.49,20806.11,15.7,3328.98,20868.53,Tarjeta de crédito,Presencial,ALM-01,TR-020,TRK9457072430,Completada,Cliente satisfecho
VENT-0120,2024-03-08,2024-03-08,2024-03-13,CLI-078,SKU-0087,48.0,587.78,28213.44,11.1,4514.15,29595.9,Efectivo,E-commerce,ALM-09,TR-017,TRK4920956041,Devuelta,
VENT-0121,2025-02-03,2025-02-06,2025-02-07,CLI-046,SKU-0046,16.0,816.16,13058.56,8.0,2089.37,14103.25,PayPal,App Móvil,ALM-03,TR-001,TRK7236320067,Cancelada,
VENT-0122,2025-05-21,2025-05-24,2025-05-28,CLI-079,SKU-0017,47.0,602.26,28306.22,19.5,4529.0,27315.51,PayPal,Teléfono,ALM-10,TR-019,TRK9226229353,Devuelta,
VENT-0123,2026-02-06,2026-02-06,2026-02-19,CLI-017,SKU-0082,34.0,561.44,19088.96,9.9,3054.23,20253.38,Stripe,Marketplace,ALM-06,TR-022,TRK3252224016,Cancelada,
VENT-0124,2024-01-31,2024-02-02,2024-02-13,CLI-088,SKU-0161,16.0,394.94,6319.04,13.9,1011.05,6451.74,Cheque,E-commerce,ALM-10,TR-011,TRK8239650191,Completada,
VENT-0125,2026-03-08,2026-03-10,2026-03-22,CLI-087,SKU-0032,11.0,323.68,3560.48,10.8,569.68,3745.63,Efectivo,Presencial,ALM-05,TR-006,TRK6983634041,Cancelada,
VENT-0126,2025-10-11,2025-10-12,2025-10-22,CLI-018,SKU-0091,40.0,335.33,13413.2,12.8,2146.11,13842.42,PayPal,App Móvil,ALM-10,TR-009,TRK8685994713,Completada,
VENT-0127,2024-03-22,2024-03-24,2024-03-25,CLI-070,SKU-0147,7.0,372.15,2605.05,3.3,416.81,2935.89,PayPal,Presencial,ALM-08,TR-006,TRK6769647208,Completada,
VENT-0128,2025-06-26,2025-06-28,2025-06-28,CLI-052,SKU-0151,15.0,794.67,11920.05,4.4,1907.21,13302.78,Transferencia,Marketplace,ALM-02,TR-018,TRK8347036704,En proceso,Requiere seguimiento
